Logo,Title,Location,Company,Description,ApplyLink,Job_type
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/5b4461b0.jpeg=s64x64,Sales Representative,"Oceanside, CA",Lawson Products,Step up your career in sales! The multi-billion dollar industrial distribution industry is brimming with opportunities for sales professionals to build a lucrative book of business and to take ...,https://click.appcast.io/track/kgku3i?cs=2h&jg=p8x&bid=uCx3gO057cUfZGeF0aWr2A==&cid=d3440aab-7a62-4c6f-900b-ccde2a5af5f5,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/1a7dd69e.jpeg=s64x64,CSR Customer Service Representative (FT/PT),"Vista, CA",Local Essential Business!,We are seeking a CSR Customer Service Representative (FT/PT) to join our team! You will be responsible for helping customers by providing product and service information and resolving technical ...,https://www.ziprecruiter.com/ojob/03122e638773c76cc23b019b0a0e8cda?lvk=nPog904MJ5gWga2VSwdBqQ.--LnsVgqhFB,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Class A CDL - Dedicated Truck Driver Nissan,"Temecula, CA",Schneider,This Dedicated truck driver position features daily time at home up to $60000 per year* and a predictable work schedule. Dedicated truckers will haul multi-stop loads for a multinational automaker ...,https://www.ziprecruiter.com/ojob/58b444f7cbb2444dcae5a4c2418086dd?lvk=fBzx8zlV8zSiTHFh_Bwe1g.--LnSpARBOk,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Assistant Store Manager,"La Jolla, CA",SPECTRUM,"The Spectrum Assistant Store Manager is responsible for assisting the Store Manager in building a highly successful sales, retention and customer care culture inside their store. Actively and ...",http://www.linkup.com/joblistings/?job=ecd732dfe958d0da526b16c2bbab8db1&cid=e63c77ee-7c0e-4e0d-9ed8-636f00502f8b,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,*Customer Service Representative,"Vista, CA",Farmers Insurance,Customer Service Representative: The Customer Service and Sales Representative (CSSR) will work to maximize positive customer experiences by responding to customer inquiries and resolving issues as ...,https://www.malakye.com/job/7503/75907/canyon-bicycles-usa-inc/e-commerce-product-merchandiser,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Class A Truck Driver,"Oceanside, CA",Western Express,"At Western Express, you can get to the top of the industry in pay in only 90 days! If you are a recent CDL-A Grad, you can choose from flatbed, van, OTR, regional or dedicated depending on where you ...",https://www.ziprecruiter.com/jobs/vector-marketing-54aeaf9c/work-from-home-entry-level-sales-rep-0d6150e6?lvk=W2rKeaMM9KforhXMXjDA_Q.--LnqfqvE1w,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative - PM SHIFT,"Vista, California",Aerotek,Position: Customer Service Rep Shift: 3:30pm-12am - must be available any day of the week/weekend Temporary: 7 weeks long Location: Vista Duties: * Help out during ramp season for the holiday rush ...,https://www.ziprecruiter.com/ojob/762fa98d639f6a80509a004fa57f0a53?lvk=JBoBztYex3fost9BPo2y-A.--LnqpKOhkN,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL-A Company Truck Driver,"Vista, CA",Pride Transport,"CDL-A TRUCK DRIVER JOB Drive With Pride And Enjoy Strong Earnings For Today And Tomorrow! Founded and run by a family of drivers, we've been pridefully rolling for over 40 years, developing a family ...",https://click.appcast.io/track/5zl8gj2?cs=cuz&jg=2iii&bid=yG21_Qzxq2fpdvTlw_qDzw==&cid=b73009a8-9759-4717-b672-e67db2dad190,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/cb2851c7.jpeg=s64x64,Shipping and Receiving,"San Diego, CA",M S International,"MSI is looking for a skilled professional to fill our Shipping and Receiving position in our San Diego, California , FL location. To perform this job successfully, the individual must be able to do ...",https://click.appcast.io/track/5e9ojvn?cs=5z9&jg=1uxy&bid=zCD0ruEca7I50FzR_CMSJw==&cid=2d4754bb-152f-4a3f-a595-63c3afc57ba2,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Drive with Lyft,"Temecula, CA",Lyft,"What is Lyft? Lyft is a platform that connects drivers with individuals and organizations that need rides. In addition to helping passengers get from A to B, in select markets drivers may also opt in ...",https://jobs.autonation.com/jobs/146339?lang=en-us&iis=Recruitics&iisn=ziprecruiter&rx_c=sales-category&rx_campaign=ziprecruiter35&rx_group=114530&rx_job=146339&rx_medium=cpc&rx_r=none&rx_source=ziprecruiter&rx_ts=20201112T140658Z&rx_p=d1f17136-8e03-4c9d-acd0-db46f421e5d6&rx_viewer=3593384d24f511eb8ceed1dd6f8eb71a49ae666f860946dc9e15012425dcf53f,Contractor
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/5631cb90.jpeg=s64x64,Life Insurance Sales Agent - Free Exclusive TV Leads,"Oceanside, CA",Lincoln Heritage Life Insurance Company,"We're looking for energetic, coachable people with NO sales experience required. The positions we are hiring for are the following: * Entry Level And Experienced Outside Customer Service Sales ...",https://www.ziprecruiter.com/ojob/09efb716bff3de2a48164d1e2ded3fff?lvk=f8DTCG_7Y1xpAs78sLoQcw.--LninJSDmo,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/f2d3840d.jpeg=s64x64,Full Time Customer Service - Immediate Hire!,"Vista, CA",San Diego Premier Marketing Inc.,We are seeking a Full Time Customer Service - Immediate Hire! to join our team! You will be responsible for helping customers by providing product and service information and resolving technical ...,https://fleet.postmates.com/drive/orange-county?rx_job=ptdd-oceanside-ca-92058-20200903&utm_content=fleet_oc_9&utm_campaign=ziprecruiter_Supply_JB_sj_oc_Desktop_CPC_Oceanside_CA_92058_Core&utm_source=ziprecruiter&rx_c=ziprecruiter_Supply_JB_SJ_OC_CPC_All_All_Core&utm_medium=sj&rx_source=ziprecruiter&rx_medium=cpc&rx_campaign=ziprecruiter110&rx_p=d3ce183a-74fc-4f16-b16f-51721330cc71&rx_viewer=38af6c4424f511eb9ae56195f5c2be3f5539716a6ef5404e95fc7709a46d6923,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative,"Vista, CA",American Zettler,"About us American Zettler, Inc. a ZETTLER Group company, produces over fifty different types of relays to meet the many requirements of commercial and industrial applications. Because of their high ...",https://click.appcast.io/track/51ryu29?cs=5q&jg=20d9&bid=Hr5r-wPzNH5ERz3gGD19KQ==&cid=a79f3da0-3f97-467c-ac2a-032dcc6e0671,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Urgent Hiring - Part time Delivery Job,"VISTA, CA",Shipt,"As a driver with Shipt, you are a bearer of good things - from groceries, to gadgets, to home decor. You simply drive up to stores, pop your trunk to pick up orders, then deliver to your customers ...",https://www.ziprecruiter.com/ojob/2e36606f882af7a9f0c01163c76b7561?lvk=M3HJdqRV3_QPRi64stEkBQ.--Ln_8eGOpc,Part-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL A Driver Merchandiser - RCCB,"San Diego, CA",Reyes Coca-Cola Bottling,"Position Summary: To efficiently deliver product to customers in a courteous, professional, compliant, safe and timely manner. Position Responsibilities may include, but not limited to: * Abide by ...",https://click.appcast.io/track/604en8n?cs=cuz&jg=34ag&bid=lqoIfZS7Ja_LCveufxvy9g==&cid=67059e25-3061-46d1-9f2d-6d3a867cf67f,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Associate Driver - RCCB,"Oceanside, CA",Reyes Coca-Cola Bottling,Position Summary: An Associate Driver possesses a Class A commercial driver's license (CDL) with less than one year of either professional or military driving experience in the past 12 months. We ...,https://click.appcast.io/track/5x3tz2t?cs=d8x&jg=2z26&bid=viVMAPGFWwJQTmWThIkjXQ==&cid=50085259-f1c1-4cbd-aee5-106154a39dbd,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/a5d6fc36.jpeg=s64x64,$15-17/hour Customer Service Associate - Now Hiring,"Vista, CA",Blackstone Gaming,Looking for a career change or a new opportunity? Interview today to join an industry and a company that offers many opportunities for career advancement and increased pay. Pay: $15-17/Hour ...,https://www.ziprecruiter.com/ojob/3daf4cd708c84edb489d05787d680de9?lvk=NdxDzEbrfXVuENme1E8AXA.--LnUrJD48k,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Retail Sales Associate (Part-Time),"Carlsbad, CA",SPECTRUM,"At A Glance * Full-time and part-time entry and mid-level retail sales roles, focusing on wireless, TV and internet products in the communications and entertainment technology space. * A role that is ...",https://www.ziprecruiter.com/jobs/global-saas-provider-b8d85230/customer-service-representative-c593a76b?lvk=euJqRbaU_28jPul2WKJExA.--LnUxIeSGw,Part-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL A Drivers - Car Haul - $24.00/Hour - Home Daily,"Carlsbad, CA",Hogan Transportation,"Now Hiring CDL-A Drivers for Dedicated Runs -Car Haul Car Haulers - Quit guessing what your percentage pay is going to be! Get paid hourly, make more, and earn a consistent income! Hogan offers our ...",https://api.l5srv.net/job_search/api/direct/get_job.srv?CID=4527&job_id=a3a8aa0c1d8b430bcedf8db0e44f1521&t=CMV%2FWarehouse&c=Service+Partners&l=San+Marcos%2C+CA+92069&AID=1306988&CMP=7175228&p=MjA%3D&repl=y&CHID=,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,"Truck Driving Jobs - Up to $1,500 Weekly!","Carlsbad, CA",Marten Transport,"CDL A Truck Drivers - Marten has great dedicated, regional, and OTR opportunities in the West where you can get home daily or weekly, depending on the route! Drivers on these routes average up to $1 ...",https://www.allretailjobs.com/cgi-local/search.cgi?action=ViewJobDetails&TypeOfUser=browse&JobIndNum=15761853&from=ziprecruiter-oa-cpc&cid=9598d0a1-f1ed-4de0-bedd-ebccdb04c4ac,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/54eedd9e.jpeg=s64x64,Customer Care Representative,"Oceanside, CA",Lincoln Military Housing,Lincoln Military Housing - A company for Growth and Opportunity! Lincoln Military Housing was formed in 2001 through a Department of Defense (DoD) contract with parent company Lincoln Property ...,https://www.ziprecruiter.com/jobs/sedona-staffing-moline-bd2acdfc/call-center-customer-support-specialist-7e93baff?lvk=UMopy2ezVMvfxOUyJ37Zyw.--Lmhecoej-,Full-Time
